Security,ALSEA* MM Equity                                                
Start Date,08/01/2001 00:00
End Date,07/01/2019 00:00
Period,D
Currency,MXN
,
Date,PRECIO
31/03/2010,13.05
30/03/2010,12.71
29/03/2010,12.79
26/03/2010,12.67
25/03/2010,12.8
24/03/2010,12.76
23/03/2010,12.86
22/03/2010,12.51
19/03/2010,12.15
18/03/2010,12.08
17/03/2010,11.81
16/03/2010,11.86
12/03/2010,11.72
11/03/2010,11.67
10/03/2010,11.67
09/03/2010,11.69
08/03/2010,11.87
05/03/2010,11.82
04/03/2010,11.61
03/03/2010,11.57
02/03/2010,11.19
01/03/2010,11.12
26/02/2010,11.22
25/02/2010,11.06
24/02/2010,11.02
23/02/2010,10.98
22/02/2010,10.48
19/02/2010,10.37
18/02/2010,9.99
17/02/2010,9.94
16/02/2010,9.81
15/02/2010,9.74
12/02/2010,9.78
11/02/2010,9.85
10/02/2010,9.94
09/02/2010,9.94
08/02/2010,9.78
05/02/2010,9.81
04/02/2010,10
03/02/2010,10.16
02/02/2010,9.85
29/01/2010,10.1
28/01/2010,10.14
27/01/2010,9.92
26/01/2010,9.86
25/01/2010,9.65
22/01/2010,9.63
21/01/2010,9.6
20/01/2010,9.76
19/01/2010,10.02
18/01/2010,10.18
15/01/2010,10.18
14/01/2010,10.17
13/01/2010,9.63
12/01/2010,9.63
11/01/2010,9.72
08/01/2010,9.88
07/01/2010,9.88
06/01/2010,9.94
05/01/2010,9.94
04/01/2010,9.94
31/12/2009,9.83
30/12/2009,9.61
29/12/2009,9.59
28/12/2009,9.41
24/12/2009,9.23
23/12/2009,9.39
22/12/2009,9.37
21/12/2009,9.32
18/12/2009,9.2
17/12/2009,9.25
16/12/2009,9.28
15/12/2009,9.46
14/12/2009,9.4
11/12/2009,9.45
10/12/2009,9.21
09/12/2009,9.18
08/12/2009,9.19
07/12/2009,9.58
04/12/2009,9.94
03/12/2009,9.79
02/12/2009,9.89
01/12/2009,9.91
30/11/2009,9.97
27/11/2009,9.6
26/11/2009,9.29
25/11/2009,9.5
