Security,ALPEKA MM Equity                                                
Start Date,25/04/2012 00:00
End Date,14/01/2019 00:00
Period,D
Currency,MXN
,
Date,PRECIO
13/02/2014,23.93
12/2/2014,26.35
11/2/2014,26.06
10/2/2014,26.03
7/2/2014,26.17
6/2/2014,26.28
5/2/2014,26.06
4/2/2014,26.16
31/01/2014,26.64
30/01/2014,26.48
29/01/2014,26.39
28/01/2014,26.42
27/01/2014,27.23
24/01/2014,27.58
23/01/2014,28.1
22/01/2014,28.1
21/01/2014,28.11
20/01/2014,27.98
17/01/2014,28.06
16/01/2014,27.93
15/01/2014,28.54
14/01/2014,28.98
13/01/2014,28.99
10/1/2014,29.2
9/1/2014,28.99
8/1/2014,29.71
7/1/2014,29.01
6/1/2014,28.69
3/1/2014,28.97
2/1/2014,29.53
31/12/2013,29.69
30/12/2013,29.57
27/12/2013,29.54
26/12/2013,29.78
24/12/2013,30.34
23/12/2013,30.66
20/12/2013,30.28
19/12/2013,29.48
18/12/2013,29.27
17/12/2013,28.79
16/12/2013,29.32
13/12/2013,29.68
11/12/2013,30.63
10/12/2013,31
9/12/2013,30.04
6/12/2013,29.54
5/12/2013,29.39
4/12/2013,29.25
3/12/2013,30.16
2/12/2013,29.84
29/11/2013,29.37
28/11/2013,28.58
27/11/2013,28.29
26/11/2013,27.1
25/11/2013,27.8
22/11/2013,27.76
21/11/2013,27.63
20/11/2013,27.41
19/11/2013,27.33
15/11/2013,27.88
14/11/2013,27.63
13/11/2013,26.49
12/11/2013,26.24
11/11/2013,26.6
8/11/2013,26.92
7/11/2013,27.14
6/11/2013,27.44
5/11/2013,27.39
4/11/2013,28.12
1/11/2013,28.35
31/10/2013,28.31
30/10/2013,27.63
29/10/2013,27.91
28/10/2013,27.47
25/10/2013,27.02
24/10/2013,26.41
23/10/2013,26.44
22/10/2013,26.53
21/10/2013,26.3
18/10/2013,26.38
17/10/2013,27.22
16/10/2013,27.66
15/10/2013,27.42
14/10/2013,27.99
11/10/2013,28.38
10/10/2013,28.36
9/10/2013,28.08
8/10/2013,27.87
7/10/2013,28.05
4/10/2013,28.06
3/10/2013,28.21
2/10/2013,28.42
1/10/2013,28.14
30/09/2013,28.18
27/09/2013,29.02
26/09/2013,29.24
25/09/2013,29.04
24/09/2013,28.81
23/09/2013,28.72
20/09/2013,29.1
19/09/2013,29.4
18/09/2013,30.02
17/09/2013,29.41
13/09/2013,29.5
12/9/2013,29.69
11/9/2013,30.11
10/9/2013,30.12
9/9/2013,30.11
6/9/2013,29.6
5/9/2013,29.77
4/9/2013,29.86
3/9/2013,28.72
2/9/2013,29.24
30/08/2013,28.84
29/08/2013,28.45
28/08/2013,28.1
27/08/2013,27.42
26/08/2013,28.76
23/08/2013,29.41
22/08/2013,29.47
21/08/2013,29.76
20/08/2013,29.93
19/08/2013,30.03
16/08/2013,31.21
15/08/2013,31.42
14/08/2013,31.04
13/08/2013,30.38
12/8/2013,30.9
9/8/2013,32.17
8/8/2013,32.15
7/8/2013,32.34
6/8/2013,31.68
5/8/2013,30.42
2/8/2013,30.98
1/8/2013,30.99
31/07/2013,28.92
30/07/2013,28.09
29/07/2013,28.15
26/07/2013,28.51
25/07/2013,28.03
24/07/2013,28.21
23/07/2013,27.68
22/07/2013,27.26
19/07/2013,27.2
18/07/2013,27.61
17/07/2013,26.96
16/07/2013,26.97
15/07/2013,27.74
12/7/2013,28.05
11/7/2013,28.13
10/7/2013,27.61
9/7/2013,27.55
8/7/2013,28.04
5/7/2013,28.02
4/7/2013,28.55
3/7/2013,28.52
2/7/2013,28.18
1/7/2013,27.87
28/06/2013,27.53
27/06/2013,28.12
26/06/2013,27.13
25/06/2013,26.25
24/06/2013,25.11
21/06/2013,25.44
20/06/2013,25.08
19/06/2013,24.87
18/06/2013,25.02
17/06/2013,24.81
14/06/2013,24.93
13/06/2013,25.62
12/6/2013,25.39
11/6/2013,25.87
10/6/2013,26.45
7/6/2013,25.66
6/6/2013,25.19
5/6/2013,24.87
4/6/2013,25.38
3/6/2013,25.17
31/05/2013,24.49
30/05/2013,25.4
29/05/2013,25.21
28/05/2013,25.85
27/05/2013,26.14
24/05/2013,26.36
23/05/2013,26
22/05/2013,25.79
21/05/2013,26.04
20/05/2013,26.14
17/05/2013,26.38
16/05/2013,27.05
15/05/2013,28.28
14/05/2013,27.87
13/05/2013,27.81
10/5/2013,28.37
9/5/2013,27.84
8/5/2013,28.56
7/5/2013,28.07
6/5/2013,28.24
3/5/2013,28.77
2/5/2013,28.27
30/04/2013,28.98
29/04/2013,29.21
26/04/2013,29.31
25/04/2013,29.4
24/04/2013,29.19
23/04/2013,28.96
22/04/2013,28.7
19/04/2013,28.1
18/04/2013,28.19
17/04/2013,27.88
16/04/2013,28.97
15/04/2013,28.57
12/4/2013,28.77
11/4/2013,28.47
10/4/2013,29.16
9/4/2013,29.55
8/4/2013,29.33
5/4/2013,29.38
4/4/2013,29.75
3/4/2013,30.05
2/4/2013,29.63
1/4/2013,29.21
27/03/2013,29.51
26/03/2013,29.09
25/03/2013,27.8
22/03/2013,27.8
21/03/2013,28.88
20/03/2013,30.53
19/03/2013,29.73
15/03/2013,29.89
14/03/2013,30.74
13/03/2013,30.99
12/3/2013,30.82
11/3/2013,30.23
8/3/2013,29.78
7/3/2013,29.15
6/3/2013,29.89
5/3/2013,29.79
4/3/2013,29.21
1/3/2013,28.89
28/02/2013,29.12
27/02/2013,28.81
26/02/2013,28.39
25/02/2013,28.39
22/02/2013,28.11
21/02/2013,27.34
20/02/2013,27.12
19/02/2013,27.91
18/02/2013,28.4
15/02/2013,28.56
14/02/2013,28.47
13/02/2013,27.57
12/2/2013,28.22
11/2/2013,29.33
8/2/2013,30.04
7/2/2013,30.49
6/2/2013,31.67
5/2/2013,31.8
1/2/2013,32.77
31/01/2013,31.58
30/01/2013,32.48
29/01/2013,32.41
28/01/2013,32.74
25/01/2013,32.5
24/01/2013,32.53
23/01/2013,32.64
22/01/2013,32.6
21/01/2013,32.8
18/01/2013,32.84
17/01/2013,32.92
16/01/2013,32.4
15/01/2013,33.15
14/01/2013,34.02
11/1/2013,34.54
10/1/2013,34.76
9/1/2013,34.91
8/1/2013,34.71
7/1/2013,34.52
4/1/2013,34.89
3/1/2013,34.84
2/1/2013,34.91
31/12/2012,34.83
28/12/2012,34.79
27/12/2012,34.72
26/12/2012,34.75
24/12/2012,34.72
21/12/2012,34.93
20/12/2012,35.44
19/12/2012,35.44
18/12/2012,35.86
17/12/2012,35.82
14/12/2012,35.83
13/12/2012,35.7
11/12/2012,37.24
10/12/2012,36.83
7/12/2012,36.35
6/12/2012,36.6
5/12/2012,37.32
4/12/2012,35.52
3/12/2012,35.2
30/11/2012,35.08
29/11/2012,33.88
28/11/2012,33.7
27/11/2012,33.8
26/11/2012,34.03
23/11/2012,33.89
22/11/2012,34.18
21/11/2012,34.11
20/11/2012,34.01
16/11/2012,34.1
15/11/2012,33.78
14/11/2012,31.97
13/11/2012,32.32
12/11/2012,32.21
9/11/2012,32.31
8/11/2012,32.28
7/11/2012,33.02
6/11/2012,33.39
5/11/2012,33.58
1/11/2012,34.02
31/10/2012,34.18
30/10/2012,33.52
29/10/2012,32.99
26/10/2012,33.02
25/10/2012,32.7
24/10/2012,32.91
23/10/2012,32.92
22/10/2012,32.86
19/10/2012,32.98
18/10/2012,33.2
17/10/2012,32.79
16/10/2012,32.65
15/10/2012,33.58
12/10/2012,34.61
11/10/2012,34.18
10/10/2012,34.14
9/10/2012,34.68
8/10/2012,34.05
5/10/2012,34.34
4/10/2012,33.85
3/10/2012,33.68
2/10/2012,33.71
1/10/2012,33.78
28/09/2012,33.52
27/09/2012,33.49
26/09/2012,33.47
25/09/2012,33.51
24/09/2012,33.75
21/09/2012,33.93
20/09/2012,34.23
19/09/2012,34.84
18/09/2012,34.06
17/09/2012,33.08
14/09/2012,33.47
13/09/2012,33.91
12/9/2012,33.61
11/9/2012,33.82
10/9/2012,34.17
7/9/2012,34.38
6/9/2012,34.11
5/9/2012,34.21
4/9/2012,34.79
3/9/2012,35.22
31/08/2012,35.6
30/08/2012,34.83
29/08/2012,34.79
28/08/2012,34.66
27/08/2012,34.43
24/08/2012,33.83
23/08/2012,33.9
22/08/2012,33.87
21/08/2012,34.44
20/08/2012,34.99
17/08/2012,35.32
16/08/2012,35.33
15/08/2012,34.66
14/08/2012,34.24
13/08/2012,33.28
10/8/2012,33.56
9/8/2012,33.18
8/8/2012,33.67
7/8/2012,33.94
6/8/2012,33.49
3/8/2012,33.27
2/8/2012,33.01
1/8/2012,32.7
31/07/2012,32.59
30/07/2012,32.94
27/07/2012,32.93
26/07/2012,33.11
25/07/2012,31.78
24/07/2012,31.68
23/07/2012,32.28
20/07/2012,32.17
19/07/2012,32.15
18/07/2012,32.13
17/07/2012,32.5
16/07/2012,32.72
13/07/2012,33.01
12/7/2012,32.44
11/7/2012,32.23
10/7/2012,31.61
9/7/2012,31
6/7/2012,30.5
5/7/2012,31.07
4/7/2012,31.11
3/7/2012,30.82
2/7/2012,30.3
29/06/2012,29.93
28/06/2012,29.23
27/06/2012,29.49
26/06/2012,28.87
25/06/2012,28.83
22/06/2012,28.99
21/06/2012,28
20/06/2012,28.15
19/06/2012,28.46
18/06/2012,27.92
15/06/2012,27.69
14/06/2012,27.56
13/06/2012,27.53
12/6/2012,27.5
11/6/2012,27.33
8/6/2012,27.27
7/6/2012,27.26
6/6/2012,26.56
5/6/2012,26.16
4/6/2012,25.91
1/6/2012,26.47
31/05/2012,26.97
30/05/2012,27.38
29/05/2012,27.76
28/05/2012,28
25/05/2012,27.78
24/05/2012,27.88
23/05/2012,27.92
22/05/2012,28.01
21/05/2012,28.29
18/05/2012,27.91
17/05/2012,27.96
16/05/2012,27.73
15/05/2012,27.7
14/05/2012,28.01
11/5/2012,29.48
10/5/2012,29.47
9/5/2012,29.06
8/5/2012,28.98
7/5/2012,29.2
4/5/2012,29.42
3/5/2012,29
2/5/2012,28.92
30/04/2012,28.75
27/04/2012,28.73
26/04/2012,27.92
25/04/2012,27.5
