Security,ALPEKA MM Equity                                                
Start Date,25/04/2012 00:00
End Date,14/01/2019 00:00
Period,D
Currency,MXN
,
Date,PRECIO
3/7/2018,29.51
2/7/2018,29.17
29/06/2018,29.55
28/06/2018,29
27/06/2018,28.9
26/06/2018,28.99
25/06/2018,28.31
22/06/2018,28.3
21/06/2018,28.28
20/06/2018,28.46
19/06/2018,28.89
18/06/2018,28.19
15/06/2018,28.15
14/06/2018,28.59
13/06/2018,29
12/6/2018,29.04
11/6/2018,29.6
8/6/2018,29.93
7/6/2018,29.8
6/6/2018,29.69
5/6/2018,29.74
4/6/2018,29.8
1/6/2018,29.93
31/05/2018,29.75
30/05/2018,29.85
29/05/2018,29.79
28/05/2018,29.95
25/05/2018,29.75
24/05/2018,29.92
23/05/2018,29.31
22/05/2018,28.38
21/05/2018,29.16
18/05/2018,29.18
17/05/2018,28.4
16/05/2018,28.42
15/05/2018,27.2
14/05/2018,26.68
11/5/2018,26.51
10/5/2018,26.9
9/5/2018,26.72
8/5/2018,26.74
7/5/2018,26.51
4/5/2018,26.47
3/5/2018,26.37
2/5/2018,26.7
30/04/2018,26.81
27/04/2018,26.7
26/04/2018,26.44
25/04/2018,26.27
24/04/2018,26.15
23/04/2018,26.12
20/04/2018,26.18
19/04/2018,26.26
18/04/2018,26.06
17/04/2018,26.3
16/04/2018,26.39
13/04/2018,25.96
12/4/2018,25.58
11/4/2018,25.31
10/4/2018,25.5
9/4/2018,25.54
6/4/2018,25.6
5/4/2018,25.4
4/4/2018,24.87
3/4/2018,24.91
2/4/2018,25.16
28/03/2018,25.26
27/03/2018,25.54
26/03/2018,25.54
23/03/2018,26.09
22/03/2018,26.59
21/03/2018,25.84
20/03/2018,25.06
16/03/2018,25.11
15/03/2018,25.17
14/03/2018,25.16
13/03/2018,25.22
12/3/2018,25.29
9/3/2018,25.29
8/3/2018,25.21
7/3/2018,25.95
6/3/2018,25.95
5/3/2018,25.67
2/3/2018,25.3
1/3/2018,24.78
28/02/2018,24.42
27/02/2018,25.69
26/02/2018,25.57
23/02/2018,25.72
22/02/2018,25.77
21/02/2018,26.22
20/02/2018,26.06
19/02/2018,26.49
16/02/2018,26.23
15/02/2018,26.61
14/02/2018,26.59
13/02/2018,26.8
12/2/2018,26.7
9/2/2018,26.03
8/2/2018,26.29
7/2/2018,26.15
6/2/2018,26.6
2/2/2018,27.49
1/2/2018,27.37
31/01/2018,26.86
30/01/2018,26.81
29/01/2018,26.57
26/01/2018,26.77
25/01/2018,26.53
24/01/2018,26.42
23/01/2018,26
22/01/2018,26.1
19/01/2018,26.04
18/01/2018,26.4
17/01/2018,25.92
16/01/2018,25.25
15/01/2018,24.79
12/1/2018,24.43
11/1/2018,23.2
10/1/2018,23.09
9/1/2018,23.21
8/1/2018,23.19
5/1/2018,23.38
4/1/2018,22.96
3/1/2018,22.99
2/1/2018,23.2
29/12/2017,23.45
28/12/2017,23.19
27/12/2017,23.08
26/12/2017,22.79
22/12/2017,22.58
21/12/2017,22.96
20/12/2017,22.59
19/12/2017,23.1
18/12/2017,23.34
15/12/2017,22.8
14/12/2017,23.48
13/12/2017,23.31
11/12/2017,22.97
8/12/2017,22.39
7/12/2017,22.16
6/12/2017,22.64
5/12/2017,23.27
4/12/2017,23.33
1/12/2017,23.39
30/11/2017,23.4
29/11/2017,23.24
28/11/2017,22.64
27/11/2017,22.3
24/11/2017,22.25
23/11/2017,22.15
22/11/2017,22.32
21/11/2017,22.24
17/11/2017,22.38
16/11/2017,21.27
15/11/2017,20.23
14/11/2017,20.17
13/11/2017,20.1
10/11/2017,20.2
9/11/2017,20.11
8/11/2017,20.39
7/11/2017,20.37
6/11/2017,20.25
3/11/2017,20.22
1/11/2017,20.15
31/10/2017,20.05
30/10/2017,20.11
27/10/2017,20.08
26/10/2017,20.02
25/10/2017,20.06
24/10/2017,20.26
23/10/2017,19.91
20/10/2017,20.38
19/10/2017,20.13
18/10/2017,19.7
17/10/2017,19.5
16/10/2017,18.33
13/10/2017,18.35
12/10/2017,18.22
11/10/2017,18.83
10/10/2017,19.15
9/10/2017,19.36
6/10/2017,19.09
5/10/2017,19.23
4/10/2017,19.19
3/10/2017,18.91
2/10/2017,18.74
29/09/2017,19.05
28/09/2017,18.26
27/09/2017,17.79
26/09/2017,17.83
25/09/2017,17.65
22/09/2017,17.5
21/09/2017,17.55
20/09/2017,17.95
19/09/2017,17.66
18/09/2017,17.5
15/09/2017,17.7
14/09/2017,17.75
13/09/2017,17.92
12/9/2017,20.01
11/9/2017,19.99
8/9/2017,19.82
7/9/2017,19.81
6/9/2017,19.67
5/9/2017,19.88
4/9/2017,20.09
1/9/2017,19.79
31/08/2017,19.76
30/08/2017,19.51
29/08/2017,19.55
28/08/2017,19.88
25/08/2017,20.36
24/08/2017,19.62
23/08/2017,19.55
22/08/2017,19.57
21/08/2017,19.73
18/08/2017,20.05
17/08/2017,19.91
16/08/2017,20.04
15/08/2017,20.41
14/08/2017,20.31
11/8/2017,20.26
10/8/2017,20.79
9/8/2017,20.81
8/8/2017,21.11
7/8/2017,21.24
4/8/2017,20.9
3/8/2017,20.28
2/8/2017,20.14
1/8/2017,20.51
31/07/2017,20.41
28/07/2017,20.46
27/07/2017,20.82
26/07/2017,21.1
25/07/2017,21.37
24/07/2017,21.3
21/07/2017,21.57
20/07/2017,21.63
19/07/2017,21.47
18/07/2017,22
17/07/2017,22.12
14/07/2017,22.13
13/07/2017,22.38
12/7/2017,22.38
11/7/2017,21.51
10/7/2017,21.79
7/7/2017,21.37
6/7/2017,21.34
5/7/2017,21.7
4/7/2017,21.59
3/7/2017,21.66
30/06/2017,21.77
29/06/2017,21.83
28/06/2017,21.93
27/06/2017,21.71
26/06/2017,21.58
23/06/2017,21.74
22/06/2017,21.68
