Security;AMXL MM Equity                                                   ;
Start Date;07/02/2001 0:00;
End Date;11/07/2018 0:00;
Period;D;
Currency;MXN;
;;
Date;PX_LAST;PX_VOLUME
22/07/2008;11,82;306345400
21/07/2008;12,54;78349800
18/07/2008;12,83;76067800
17/07/2008;12,94;91390600
16/07/2008;12,65;91256000
15/07/2008;12,43;110361800
14/07/2008;12,28;53086400
11/07/2008;12,27;74950200
10/07/2008;12,33;121675200
09/07/2008;12,22;144215600
08/07/2008;12,68;80261400
07/07/2008;12,57;55461600
04/07/2008;12,54;18874600
03/07/2008;12,66;49422000
02/07/2008;12,7;87905200
01/07/2008;12,88;103016000
30/06/2008;12,93;61918600
27/06/2008;12,88;56891800
26/06/2008;12,9;82623200
25/06/2008;13,08;72424000
24/06/2008;12,76;94224000
23/06/2008;12,9;54335600
20/06/2008;12,91;97191400
19/06/2008;13,04;99072800
18/06/2008;13,24;137253800
17/06/2008;13,48;93948200
16/06/2008;13,81;86683600
13/06/2008;13,85;99207600
12/06/2008;13,94;125412600
11/06/2008;13,64;84661800
10/06/2008;13,69;74006000
09/06/2008;13,72;52821600
06/06/2008;13,56;110098600
05/06/2008;14,02;48542600
04/06/2008;13,98;46867600
03/06/2008;14,05;93736000
02/06/2008;14,36;39091200
30/05/2008;14,61;150623000
29/05/2008;14,38;73231600
28/05/2008;14,31;66693000
27/05/2008;14,18;76358200
26/05/2008;14,13;9286800
23/05/2008;14,07;54818200
22/05/2008;14,02;69482800
21/05/2008;13,79;64065600
20/05/2008;14;70549400
19/05/2008;14,07;83104800
16/05/2008;14,07;132028200
15/05/2008;14,43;65848400
14/05/2008;14,6;139367400
13/05/2008;14,14;60057400
12/05/2008;14,16;131268600
09/05/2008;14,32;64084800
08/05/2008;14,3;173155000
07/05/2008;14,51;121118800
06/05/2008;14,66;101317600
05/05/2008;14,56;79030000
02/05/2008;14,36;98378400
30/04/2008;14,46;141692800
29/04/2008;14,27;114463200
28/04/2008;14,26;148349800
25/04/2008;14,05;609853400
24/04/2008;16,12;86017400
23/04/2008;16,23;84655200
22/04/2008;16,28;80979600
21/04/2008;16,6;52924200
18/04/2008;16,22;112260600
17/04/2008;16,38;87946000
16/04/2008;16,33;99791200
15/04/2008;15,91;47355400
14/04/2008;15,51;66335400
11/04/2008;15,64;85941000
10/04/2008;15,91;85792200
09/04/2008;15,77;103041200
08/04/2008;16,18;75358600
07/04/2008;16,2;52088800
04/04/2008;16,37;63728600
03/04/2008;16,65;109594600
02/04/2008;16,3;119950800
01/04/2008;16,52;212732200
31/03/2008;16,1;137627000
28/03/2008;15,7;55097600
27/03/2008;15,59;61472600
26/03/2008;15,65;55122400
25/03/2008;15,69;72955600
24/03/2008;15,32;71873600
19/03/2008;15,05;69014800
18/03/2008;15,61;73545600
14/03/2008;15,02;69815600
13/03/2008;15,23;67335200
12/03/2008;15;94581600
11/03/2008;15,21;111349600
10/03/2008;14,46;166204000
07/03/2008;14,92;74716400
06/03/2008;14,87;63392400
05/03/2008;15,1;88623600
04/03/2008;15,33;110385800
03/03/2008;15,55;68471800
29/02/2008;15,3;110285400
28/02/2008;15,94;69210000
27/02/2008;16,28;74053400
26/02/2008;16,3;185627400
25/02/2008;16,08;78507200
22/02/2008;15,7;61402200
21/02/2008;15,65;58370200
20/02/2008;15,64;53788000
19/02/2008;15,38;77677400
18/02/2008;15,7;18495600
15/02/2008;15,44;67124800
14/02/2008;15,69;77013800
13/02/2008;15,82;109207400
12/02/2008;15,42;128128000
11/02/2008;15,36;83843600
08/02/2008;14,91;54142200
07/02/2008;14,85;126393800
06/02/2008;14,89;122903000
05/02/2008;14,85;138830400
01/02/2008;15,89;113392400
31/01/2008;15,44;158512000
