Security;AMXL MM Equity                                                   ;
Start Date;07/02/2001 0:00;
End Date;11/07/2018 0:00;
Period;D;
Currency;MXN;
;;
Date;PX_LAST;PX_VOLUME
24/01/2018;17,47;64556666
23/01/2018;17,19;49894548
22/01/2018;17,22;49217792
19/01/2018;16,94;52491370
18/01/2018;17,07;43578078
17/01/2018;16,53;49837599
16/01/2018;16,39;48371555
15/01/2018;16,5;5179192
12/01/2018;16,48;42748117
11/01/2018;16,37;66061935
10/01/2018;16,48;52470135
09/01/2018;16,93;69395518
08/01/2018;16,98;38356614
05/01/2018;16,79;56321352
04/01/2018;16,76;71430726
03/01/2018;16,76;51422282
02/01/2018;17,12;29421019
29/12/2017;16,95;17881115
28/12/2017;16,98;11960985
27/12/2017;16,82;13137895
26/12/2017;16,91;26884054
22/12/2017;16,78;18005428
21/12/2017;16,64;27113025
20/12/2017;16,67;67328028
19/12/2017;16,71;75858635
18/12/2017;16,66;72754960
15/12/2017;16,52;144126046
14/12/2017;16,65;66219378
13/12/2017;16,66;95500176
11/12/2017;16,43;29671616
08/12/2017;16,31;45773561
07/12/2017;16,12;47332208
06/12/2017;16,11;46451120
05/12/2017;16,07;31219565
04/12/2017;15,92;31763475
01/12/2017;15,9;51552791
30/11/2017;15,99;93772525
29/11/2017;16,4;52926659
28/11/2017;16,36;44471137
27/11/2017;16,27;42032440
24/11/2017;16,43;11009475
23/11/2017;16,52;3988504
22/11/2017;16,43;50947682
21/11/2017;16,36;53649229
17/11/2017;16,33;33427238
16/11/2017;16,39;34462638
15/11/2017;16,23;41350827
14/11/2017;16,27;49920124
13/11/2017;16,46;65958620
10/11/2017;16,51;62544341
09/11/2017;16,64;45369360
08/11/2017;16,79;21954033
07/11/2017;16,93;70157418
06/11/2017;16,89;58667184
03/11/2017;16,69;48097810
01/11/2017;16,46;29826914
31/10/2017;16,54;39714353
30/10/2017;16,51;23490619
27/10/2017;16,48;69111026
26/10/2017;16,77;40960306
25/10/2017;16,93;107417801
24/10/2017;18,19;46507195
23/10/2017;17,92;29031964
20/10/2017;18,2;95726800
19/10/2017;17,51;68316550
18/10/2017;17,14;64335085
17/10/2017;17,23;84667705
16/10/2017;17,07;59646754
13/10/2017;17;81689597
12/10/2017;16,75;78954446
11/10/2017;16,43;50044151
10/10/2017;16,38;48779696
09/10/2017;16,19;26883215
06/10/2017;16,24;31687963
05/10/2017;16,16;29877179
04/10/2017;16,16;33414077
03/10/2017;16,15;40862225
02/10/2017;15,92;35772582
29/09/2017;16,16;31644752
28/09/2017;16,15;33260070
27/09/2017;16,23;57338150
26/09/2017;16,42;46338563
25/09/2017;16,42;24665620
22/09/2017;16,34;23498223
21/09/2017;16,42;38716477
20/09/2017;16,42;21620642
19/09/2017;16,37;33161722
18/09/2017;16,4;42525269
15/09/2017;16,27;188983123
14/09/2017;16,33;47571192
13/09/2017;16,39;59795648
12/09/2017;16,4;46710151
11/09/2017;16,38;29042724
08/09/2017;16,18;45056745
07/09/2017;16,31;40010091
06/09/2017;16,29;59919972
05/09/2017;16,31;35942236
04/09/2017;16,37;4152532
01/09/2017;16,49;48572392
31/08/2017;16,62;92065817
30/08/2017;16,66;76943389
29/08/2017;16,71;54028800
28/08/2017;16,71;34375843
25/08/2017;16,64;46715306
24/08/2017;16,65;53724047
23/08/2017;16,55;39232716
22/08/2017;16,66;49537247
21/08/2017;16,64;33894409
18/08/2017;16,67;45173543
17/08/2017;16,62;44139335
16/08/2017;16,62;66906097
15/08/2017;16,58;46992152
14/08/2017;16,4;43475648
11/08/2017;16,08;66175884
10/08/2017;16,12;56399149
09/08/2017;15,77;35612778
08/08/2017;15,79;31807818
07/08/2017;15,98;38563109
04/08/2017;15,92;40977408
03/08/2017;15,9;29728130
02/08/2017;15,87;46993630
01/08/2017;15,76;30797653
31/07/2017;15,76;53721666
28/07/2017;15,89;34106079
27/07/2017;15,6;33385522
26/07/2017;15,78;49336595
25/07/2017;15,83;31888812
24/07/2017;15,77;40216049
21/07/2017;15,45;39571937
20/07/2017;15,15;23409961
19/07/2017;15,15;33825324
18/07/2017;15,04;50584461
17/07/2017;14,97;40681905
14/07/2017;14,89;46018226
13/07/2017;14,65;65918039
12/07/2017;14,78;75530062
11/07/2017;15,06;68835318
10/07/2017;14,98;53638405
07/07/2017;14,73;38678789
06/07/2017;14,63;45625683
05/07/2017;14,8;35836635
04/07/2017;14,64;7360438
03/07/2017;14,68;27910195
30/06/2017;14,6;32247201
29/06/2017;14,36;31035504
28/06/2017;14,36;32828977
27/06/2017;14,35;57873275
26/06/2017;14,42;41533715
23/06/2017;14,22;57697111
22/06/2017;14,3;23058330
21/06/2017;14,42;45834595
20/06/2017;14,22;29378601
19/06/2017;14,33;39200540
16/06/2017;14,28;152187634
15/06/2017;14,33;26122917
14/06/2017;14,49;34614677
13/06/2017;14,46;36853808
12/06/2017;14,7;34501855
09/06/2017;14,75;32404723
08/06/2017;14,8;40874824
07/06/2017;14,91;32781586
06/06/2017;14,9;25062082
05/06/2017;14,99;43321591
02/06/2017;14,92;34977249
01/06/2017;14,98;31110077
31/05/2017;14,97;72210206
30/05/2017;15,05;24301250
29/05/2017;14,98;7262280
26/05/2017;15,07;44407052
25/05/2017;14,85;33241995
24/05/2017;14,92;45969385
23/05/2017;14,79;36969013
22/05/2017;14,73;50039886
19/05/2017;14,78;53006734
18/05/2017;14,18;49992172
17/05/2017;14,54;52988707
16/05/2017;14,74;60410691
15/05/2017;14,78;53358297
12/05/2017;14,45;50048831
11/05/2017;14,38;57449985
10/05/2017;14,77;37431372
09/05/2017;14,75;45190627
08/05/2017;14,55;33248024
05/05/2017;14,58;50834241
04/05/2017;14,41;41905849
03/05/2017;14,17;27788952
02/05/2017;14,47;49392119
28/04/2017;14,47;39155279
27/04/2017;14,76;79637042
26/04/2017;14,65;87170606
25/04/2017;14,17;69953302
24/04/2017;14;39512778
21/04/2017;13,74;27769108
20/04/2017;13,79;35597055
19/04/2017;13,65;35794491
18/04/2017;13,58;22629199
17/04/2017;13,54;27036761
12/04/2017;13,47;27663564
11/04/2017;13,76;23743797
10/04/2017;13,76;14924987
07/04/2017;13,45;21680128
06/04/2017;13,3;29230319
05/04/2017;13,36;53588120
04/04/2017;13,39;42489328
03/04/2017;13,39;24062729
31/03/2017;13,28;76860327
30/03/2017;13,53;32675640
29/03/2017;13,76;55305464
28/03/2017;13,68;38005362
27/03/2017;13,56;39783896
24/03/2017;13,32;32582591
23/03/2017;13,32;46272250
22/03/2017;13,35;52310539
21/03/2017;13,57;60772694
17/03/2017;13,42;178223055
16/03/2017;13,09;75574216
15/03/2017;12,81;60280935
14/03/2017;12,57;52409860
13/03/2017;12,37;49898043
10/03/2017;12,31;49679638
09/03/2017;12,63;66166031
08/03/2017;13,23;33161377
07/03/2017;12,95;58005430
06/03/2017;13,18;39144393
03/03/2017;13,07;24663525
02/03/2017;13,1;51914043
01/03/2017;12,88;40909837
28/02/2017;12,75;84070787
27/02/2017;12,85;59353322
24/02/2017;12,57;47800759
23/02/2017;12,65;66016239
22/02/2017;12,74;37812267
21/02/2017;12,88;44818945
20/02/2017;12,87;4630791
17/02/2017;12,97;39536723
16/02/2017;13,15;52181783
15/02/2017;13,21;44030637
14/02/2017;13,17;53468037
13/02/2017;13,18;54636114
10/02/2017;13,3;65069981
09/02/2017;13,02;60850625
08/02/2017;12,66;52565777
07/02/2017;12,56;80473428
03/02/2017;12,86;78437946
02/02/2017;13,22;73841919
01/02/2017;13,01;52754127
31/01/2017;13,14;56981683
30/01/2017;13,24;52268069
27/01/2017;13,38;43885703
26/01/2017;13,4;39684654
25/01/2017;13,63;52465643
24/01/2017;13,73;66175645
23/01/2017;13,84;36396010
20/01/2017;13,44;35561583
19/01/2017;13,58;39423624
18/01/2017;13,63;52026135
17/01/2017;13,39;63131715
16/01/2017;13,4;9111156
13/01/2017;13,53;56815172
12/01/2017;13,62;47660934
11/01/2017;13,96;52493513
10/01/2017;13,84;47279474
09/01/2017;13,53;34280007
06/01/2017;13,46;63905517
05/01/2017;13,48;75787537
04/01/2017;13,71;69870374
03/01/2017;13,51;51872699
02/01/2017;13,04;632069
30/12/2016;13,03;29769109
29/12/2016;13,13;21536025
28/12/2016;13;24891582
27/12/2016;12,99;17481132
26/12/2016;12,95;1999004
23/12/2016;12,87;17878603
22/12/2016;12,7;26660642
21/12/2016;12,79;29591011
20/12/2016;12,77;67730869
19/12/2016;12,55;34796440
16/12/2016;12,39;119482353
15/12/2016;12,66;51084206
14/12/2016;12,55;87291012
13/12/2016;12,95;85370983
09/12/2016;13,19;64734547
08/12/2016;12,97;55231455
07/12/2016;12,6;57964805
06/12/2016;12,38;68966602
05/12/2016;12,36;79292080
02/12/2016;12,18;62204424
01/12/2016;12,32;76422417
30/11/2016;12,52;257925754
29/11/2016;12,33;56176452
28/11/2016;12,16;48370909
25/11/2016;12,1;22106938
24/11/2016;12,08;7109650
23/11/2016;12,11;62920713
22/11/2016;11,95;97647158
18/11/2016;11,61;69203699
17/11/2016;11,68;58457579
16/11/2016;11,95;160013848
15/11/2016;11,68;76533386
14/11/2016;11,6;77151373
11/11/2016;11,57;122576461
10/11/2016;11,76;201446820
09/11/2016;11,98;128641316
08/11/2016;12,41;93934040
07/11/2016;12,13;91770733
04/11/2016;11,88;80534085
03/11/2016;12,19;103309169
01/11/2016;12,54;74822280
31/10/2016;12,52;70173408
28/10/2016;12,46;243832360
27/10/2016;11,17;30071479
26/10/2016;11,1;59771867
25/10/2016;11,2;44978344
24/10/2016;11,23;34438688
21/10/2016;11,19;33867979
20/10/2016;11,12;32983317
19/10/2016;11,2;49014911
18/10/2016;11,08;83758377
17/10/2016;10,93;60362267
14/10/2016;11,01;71117846
13/10/2016;11,17;63682554
12/10/2016;11,33;31202598
11/10/2016;11,34;61106365
10/10/2016;11,35;65390239
07/10/2016;11,24;38698544
06/10/2016;11,07;53586532
05/10/2016;11,21;57704641
04/10/2016;11,06;65042909
03/10/2016;11,16;49902421
30/09/2016;11,07;50798524
29/09/2016;11,15;61328025
28/09/2016;11,26;43062057
27/09/2016;11,05;84466015
26/09/2016;11,19;68067831
23/09/2016;11,44;71084447
22/09/2016;11,48;76602856
21/09/2016;11,21;79271741
20/09/2016;11,02;40716237
19/09/2016;10,95;51736812
15/09/2016;11,17;159035496
14/09/2016;11,12;93210199
13/09/2016;11,16;97708087
12/09/2016;11,09;88318215
09/09/2016;10,91;73338112
08/09/2016;11,01;68636310
07/09/2016;10,85;64491510
06/09/2016;10,89;74199354
05/09/2016;10,95;6162040
02/09/2016;10,93;53072089
01/09/2016;11,03;60557935
31/08/2016;11,26;222000124
30/08/2016;11,16;53681366
29/08/2016;11,11;49044240
26/08/2016;10,97;77900584
25/08/2016;11,06;55031771
24/08/2016;10,85;47113354
23/08/2016;10,91;58750730
22/08/2016;10,98;54824990
19/08/2016;11,04;40270319
18/08/2016;11,04;57029963
17/08/2016;11,13;79475430
16/08/2016;11,04;74197011
15/08/2016;11,05;77839097
12/08/2016;11;93033835
11/08/2016;11,23;106078987
10/08/2016;11,13;64731771
09/08/2016;11,1;87764028
08/08/2016;10,86;49266439
05/08/2016;10,8;63866948
04/08/2016;10,75;52709210
03/08/2016;10,82;66159083
02/08/2016;10,93;76872613
01/08/2016;10,93;58581644
29/07/2016;10,78;158412720
28/07/2016;11,05;91195836
27/07/2016;11,35;68586594
26/07/2016;11,53;57007153
25/07/2016;11,58;67284442
22/07/2016;11,6;36159662
21/07/2016;11,86;59728086
20/07/2016;11,88;71720895
19/07/2016;11,65;66392403
18/07/2016;11,63;50012901
15/07/2016;11,38;65192281
14/07/2016;11,43;95616688
13/07/2016;11,19;55691662
12/07/2016;11,23;72752063
11/07/2016;11,33;49549844
08/07/2016;11,32;43018400
07/07/2016;11,21;66089613
06/07/2016;11,31;55493726
05/07/2016;11,47;73870998
04/07/2016;11,33;8597514
01/07/2016;11,41;40897171
30/06/2016;11,22;64491565
29/06/2016;11,32;57827658
28/06/2016;11;58512249
27/06/2016;10,95;60137522
24/06/2016;11,02;63477479
23/06/2016;11,29;59839595
22/06/2016;11,32;52505972
21/06/2016;11,29;53853692
20/06/2016;11,38;55393999
17/06/2016;11,24;106514550
16/06/2016;11,24;55211491
15/06/2016;11,24;95365029
14/06/2016;10,95;57887033
13/06/2016;11,04;57078425
10/06/2016;11,31;45524735
09/06/2016;11,5;82924958
08/06/2016;11,77;153996290
07/06/2016;11,5;156972129
06/06/2016;11,3;76789982
03/06/2016;11,35;48091868
02/06/2016;11,29;64419806
01/06/2016;11,29;69004058
31/05/2016;11,29;278028049
30/05/2016;11,51;17495665
27/05/2016;11,5;67627375
26/05/2016;11,53;124595971
25/05/2016;11,42;99228717
24/05/2016;11,56;90094759
23/05/2016;11,5;59918948
20/05/2016;11,52;50517594
19/05/2016;11,54;56178980
18/05/2016;11,71;60286081
17/05/2016;11,79;53694356
16/05/2016;11,72;40910352
13/05/2016;11,66;65042928
12/05/2016;11,69;54169130
11/05/2016;11,59;90360618
10/05/2016;11,82;74657858
09/05/2016;11,62;76487949
06/05/2016;11,51;77349631
05/05/2016;11,59;78433273
04/05/2016;11,74;211463036
03/05/2016;12,14;112433597
02/05/2016;11,93;72783554
29/04/2016;12,16;100863515
28/04/2016;12,11;217662076
27/04/2016;13,64;67101779
26/04/2016;13,6;75816425
25/04/2016;13,68;52185624
22/04/2016;13,62;46936529
21/04/2016;13,66;48785221
20/04/2016;13,55;68657760
19/04/2016;13,61;67010873
18/04/2016;13,1;66821634
15/04/2016;13,53;57197553
14/04/2016;13,66;47123924
13/04/2016;13,73;67973000
12/04/2016;13,61;70475079
11/04/2016;13,33;45902335
08/04/2016;13,52;93234200
07/04/2016;13,36;58577730
06/04/2016;13,47;51365877
05/04/2016;13,55;41776021
04/04/2016;13,69;55202976
01/04/2016;13,65;51665471
31/03/2016;13,43;83931166
30/03/2016;13,43;59956426
29/03/2016;13,41;58983235
28/03/2016;13,53;34013864
23/03/2016;13,42;56875645
22/03/2016;13,16;44648798
18/03/2016;13,01;202029506
17/03/2016;13,27;105807749
16/03/2016;13,14;81346804
15/03/2016;12,96;49602207
14/03/2016;13,32;64436551
11/03/2016;13,46;84209937
10/03/2016;13,03;57284769
09/03/2016;12,95;82720989
08/03/2016;13,36;76767552
07/03/2016;13,28;89083454
04/03/2016;13,11;70904060
03/03/2016;13,04;56823233
02/03/2016;12,9;90800967
01/03/2016;12,57;88258544
29/02/2016;12,34;127219419
26/02/2016;12,23;21996371
25/02/2016;12,19;43025254
24/02/2016;12,01;80546770
23/02/2016;12;42965129
22/02/2016;12,07;60335647
19/02/2016;11,93;60451593
18/02/2016;12,23;81426464
17/02/2016;12,42;79403736
16/02/2016;12,34;50677111
15/02/2016;12,43;20676214
12/02/2016;12,05;52785231
11/02/2016;11,82;71781488
10/02/2016;11,85;112517729
09/02/2016;12,56;125527024
08/02/2016;12,91;57908637
05/02/2016;13,02;81680982
04/02/2016;13,19;95013081
03/02/2016;12,89;77351889
02/02/2016;12,69;108037384
29/01/2016;12,79;112871679
28/01/2016;12,44;95712335
27/01/2016;12,36;82925991
26/01/2016;12,08;53077617
25/01/2016;11,78;46604664
22/01/2016;11,97;70069639
21/01/2016;11,63;58400865
20/01/2016;11,39;61320187
19/01/2016;11,32;67190280
18/01/2016;11,26;7636359
15/01/2016;11,37;65575751
14/01/2016;11,72;44285100
13/01/2016;11,43;56962804
12/01/2016;11,25;63999451
11/01/2016;11,16;63141138
08/01/2016;10,92;136048338
07/01/2016;11,34;79210926
06/01/2016;11,74;53028715
05/01/2016;11,97;58789894
04/01/2016;12,03;38433299
31/12/2015;12,12;33410585
30/12/2015;12,52;32372590
29/12/2015;12,54;33686164
28/12/2015;12,24;24664081
24/12/2015;12,46;8472874
23/12/2015;12,51;38506643
22/12/2015;12,49;49012640
21/12/2015;12,7;72821701
18/12/2015;12,06;152915071
17/12/2015;12,39;86188653
16/12/2015;12,59;74925946
15/12/2015;12,22;94042392
14/12/2015;11,98;62605760
11/12/2015;11,96;92231444
10/12/2015;12,08;67545624
09/12/2015;12;127362495
08/12/2015;11,96;76788492
07/12/2015;12,27;51927668
04/12/2015;12,5;56258178
03/12/2015;12,67;54140974
02/12/2015;12,65;56458560
01/12/2015;13,05;76773775
30/11/2015;12,75;297230101
27/11/2015;13,04;40461751
26/11/2015;13,09;14430566
25/11/2015;13,11;67322751
24/11/2015;13,34;53486533
23/11/2015;13,37;48754367
20/11/2015;13,41;54957059
19/11/2015;13,53;86713047
18/11/2015;13,45;115832014
17/11/2015;12,9;100004882
13/11/2015;12,72;86979188
12/11/2015;13,05;56327782
11/11/2015;12,98;66565445
10/11/2015;12,97;72592095
09/11/2015;13,28;70896627
06/11/2015;13,55;80894880
05/11/2015;13,65;61496350
04/11/2015;13,55;56161746
03/11/2015;13,81;87321753
30/10/2015;14;73540198
29/10/2015;13,65;57379125
28/10/2015;13,32;49604424
27/10/2015;13,4;66734416
26/10/2015;13,72;45403566
23/10/2015;13,6;55674049
22/10/2015;13,49;54664869
21/10/2015;13,35;81341956
20/10/2015;13,59;97859685
19/10/2015;13,83;68484385
16/10/2015;13,54;46662442
15/10/2015;13,55;49459013
14/10/2015;13,47;40794345
13/10/2015;13,78;86036786
12/10/2015;13,76;42236861
09/10/2015;13,95;39653211
08/10/2015;14,02;64957701
07/10/2015;13,96;66783111
06/10/2015;13,95;53066330
05/10/2015;14,09;71487550
02/10/2015;13,47;47462275
01/10/2015;13,52;53211217
30/09/2015;13,31;118806178
29/09/2015;13,35;54239545
28/09/2015;13,4;65271270
25/09/2015;13,56;40887592
24/09/2015;13,59;76566031
23/09/2015;13,73;48427593
22/09/2015;13,96;47619890
21/09/2015;14,3;52624009
18/09/2015;14,11;151939907
17/09/2015;14,28;73412143
15/09/2015;14,27;59270408
14/09/2015;14,3;52329160
11/09/2015;14,01;37873587
10/09/2015;14,11;68016233
09/09/2015;14,28;44094059
08/09/2015;14,41;57833485
07/09/2015;14,2;6918311
04/09/2015;14,17;58626099
03/09/2015;14,35;51141227
02/09/2015;14,35;57477653
01/09/2015;14,32;66735008
31/08/2015;14,49;251594687
28/08/2015;14,63;47201319
27/08/2015;14,77;62616401
26/08/2015;14,24;62886494
25/08/2015;14,3;45413171
24/08/2015;14,15;60797830
21/08/2015;14,28;59962071
20/08/2015;14,5;31653523
19/08/2015;14,77;56884440
18/08/2015;14,73;46112121
17/08/2015;14,68;51356421
14/08/2015;14,39;46598769
13/08/2015;14,31;71090218
12/08/2015;14,57;62568551
11/08/2015;14,73;62024309
10/08/2015;15,07;26639373
07/08/2015;14,86;28395608
06/08/2015;15,04;25257393
05/08/2015;15,06;56195785
04/08/2015;15,18;61244751
03/08/2015;14,95;64850784
31/07/2015;14,87;123466782
30/07/2015;14,49;55407510
29/07/2015;14,58;76115402
28/07/2015;14,67;112522400
27/07/2015;14,42;47478584
24/07/2015;14,67;84714788
23/07/2015;14,96;81457222
22/07/2015;15,05;85894102
21/07/2015;15,29;67533609
20/07/2015;15,57;34922023
17/07/2015;15,41;72914339
16/07/2015;15,61;48921284
15/07/2015;15,48;41262582
14/07/2015;15,72;40306660
13/07/2015;15,67;43283131
10/07/2015;15,48;49860068
09/07/2015;15,41;48192572
08/07/2015;15,48;87256049
07/07/2015;15,86;73064172
06/07/2015;15,53;57833867
03/07/2015;15,66;13041202
02/07/2015;15,69;82104367
01/07/2015;15,57;63365834
30/06/2015;15,91;91688213
29/06/2015;15,74;63620866
26/06/2015;15,85;59760374
25/06/2015;15,85;63255089
24/06/2015;15,7;55854294
23/06/2015;15,68;48827901
22/06/2015;15,59;45075016
19/06/2015;15,37;179317917
18/06/2015;15,47;53222883
17/06/2015;15,05;76163118
16/06/2015;15;57334840
15/06/2015;14,93;52005650
12/06/2015;15,03;57128917
11/06/2015;14,94;56418054
10/06/2015;15,1;62296991
09/06/2015;14,91;49169940
08/06/2015;15,14;32633239
05/06/2015;15,18;45050860
04/06/2015;15,24;56821496
03/06/2015;15,53;60254355
02/06/2015;15,58;70474338
01/06/2015;15,6;51161999
29/05/2015;15,38;195221726
28/05/2015;15,39;45545075
27/05/2015;15,23;55291813
26/05/2015;15,05;66422934
25/05/2015;14,99;7511025
22/05/2015;14,84;61918784
21/05/2015;14,91;38112572
20/05/2015;15,07;55930140
19/05/2015;14,85;55605352
18/05/2015;14,89;39501783
15/05/2015;15,01;38312259
14/05/2015;14,96;46670329
13/05/2015;14,7;52823794
12/05/2015;14,76;53549078
11/05/2015;14,92;44143376
08/05/2015;14,97;78836480
07/05/2015;15,05;59178749
06/05/2015;14,99;65988535
05/05/2015;15,15;108828941
04/05/2015;15,34;60004224
30/04/2015;15,29;115754281
29/04/2015;15,58;61118837
28/04/2015;15,8;72188190
27/04/2015;16,1;64796777
24/04/2015;16,11;60420938
23/04/2015;16,25;50158983
22/04/2015;16,05;69728008
21/04/2015;16,1;49871320
20/04/2015;16,06;47397894
17/04/2015;16,01;50667251
16/04/2015;16,02;71356852
15/04/2015;15,79;80376770
14/04/2015;15,49;66705829
13/04/2015;15,48;54828501
10/04/2015;15,38;57213030
09/04/2015;15,16;65733284
08/04/2015;15,01;63537105
07/04/2015;15,2;56286528
06/04/2015;15,46;46259135
01/04/2015;15,4;74888097
31/03/2015;14,86;61975771
30/03/2015;15;56540087
27/03/2015;14,83;66074505
26/03/2015;14,78;63546547
25/03/2015;14,85;38401468
24/03/2015;14,98;43144429
23/03/2015;14,94;33074290
20/03/2015;14,92;146096205
19/03/2015;14,93;64140169
18/03/2015;15,26;105614808
17/03/2015;14,43;43655119
13/03/2015;14,5;52644796
12/03/2015;14,48;40716321
11/03/2015;14,43;57385986
10/03/2015;14,53;38218423
09/03/2015;14,67;45139761
06/03/2015;14,65;40666986
05/03/2015;14,64;56646503
04/03/2015;14,83;39206394
03/03/2015;14,89;57865975
02/03/2015;15,01;69303707
27/02/2015;15,19;137145936
26/02/2015;15,39;46285779
25/02/2015;15,19;59926947
24/02/2015;15,17;73236534
23/02/2015;15,18;39775769
20/02/2015;15,51;37542105
19/02/2015;15,53;38921188
18/02/2015;15,52;73418118
17/02/2015;15,47;44999617
16/02/2015;15,49;7244870
13/02/2015;15,54;53714493
12/02/2015;15,37;60448369
11/02/2015;14,76;85198373
10/02/2015;15,34;67639679
09/02/2015;15,36;58742918
06/02/2015;15,36;41112790
05/02/2015;15,33;53538057
04/02/2015;15,22;39464839
03/02/2015;15,22;47722584
30/01/2015;15,22;69438783
29/01/2015;15,46;44695009
28/01/2015;15,54;54557736
27/01/2015;15,8;45943508
26/01/2015;15,98;75699286
23/01/2015;16,37;48557026
22/01/2015;16,44;66753350
21/01/2015;16,25;79129160
20/01/2015;16,05;59443114
19/01/2015;15,76;6030571
16/01/2015;15,75;52233111
15/01/2015;15,78;78628186
14/01/2015;15,61;63861103
13/01/2015;15,57;53221462
12/01/2015;15,66;55475345
09/01/2015;15,79;48820933
08/01/2015;15,6;51847154
07/01/2015;15,3;39299435
06/01/2015;15,13;71481841
05/01/2015;15,21;61661413
02/01/2015;15,38;26039321
31/12/2014;15,57;21573971
30/12/2014;15,48;24819253
29/12/2014;15,62;32416709
26/12/2014;15,57;19404661
24/12/2014;15,42;11009619
23/12/2014;15,47;29093892
22/12/2014;15,26;41300605
19/12/2014;14,99;150496388
18/12/2014;15,1;80148178
17/12/2014;14,69;116105628
16/12/2014;14,29;85475169
15/12/2014;14,39;115550618
11/12/2014;15,13;57171170
10/12/2014;14,76;68296901
09/12/2014;14,99;63470557
08/12/2014;15,26;43143670
05/12/2014;15,3;68817003
04/12/2014;15,15;59784510
03/12/2014;15,23;52997652
02/12/2014;15,24;47207132
01/12/2014;15,44;85735268
28/11/2014;15,57;40225799
27/11/2014;15,73;7913671
26/11/2014;15,65;47826100
25/11/2014;15,68;164612385
24/11/2014;15,73;61447469
21/11/2014;15,61;135271015
20/11/2014;15,23;85323193
19/11/2014;15,29;72111829
18/11/2014;15,17;80393046
14/11/2014;14,94;67064636
13/11/2014;14,99;96921216
12/11/2014;14,72;65752005
11/11/2014;15,1;53410276
10/11/2014;15,3;76024857
07/11/2014;15,49;54214486
06/11/2014;15,58;60708121
05/11/2014;15,61;47521857
04/11/2014;15,62;52961579
03/11/2014;15,76;56338895
31/10/2014;15,6;147821714
30/10/2014;15,35;77316015
29/10/2014;15,32;43409761
28/10/2014;15,22;49222323
27/10/2014;15,29;39363255
24/10/2014;15,21;54081929
23/10/2014;15,32;51620348
22/10/2014;15,33;43052325
21/10/2014;15,54;44888010
20/10/2014;15,42;49169157
17/10/2014;15,46;52247194
16/10/2014;15,34;55802878
15/10/2014;15,4;90596648
14/10/2014;15,59;35055123
13/10/2014;15,43;35792367
10/10/2014;15,46;42110376
09/10/2014;15,75;31587592
08/10/2014;15,8;51552187
07/10/2014;15,92;51024855
06/10/2014;15,98;33921801
03/10/2014;15,93;63621924
02/10/2014;15,8;49361125
01/10/2014;15,73;63438071
30/09/2014;16,1;59285240
29/09/2014;15,94;54646384
26/09/2014;16,13;42016051
25/09/2014;15,98;39230421
24/09/2014;15,99;57688677
23/09/2014;15,99;68608323
22/09/2014;16,34;44960848
19/09/2014;16,25;214229617
18/09/2014;16,62;46877414
17/09/2014;16,59;77963518
15/09/2014;16,49;59815710
12/09/2014;16,2;46552931
11/09/2014;16,05;41996133
10/09/2014;16,14;46489437
09/09/2014;16,3;60937283
08/09/2014;16,51;63798091
05/09/2014;16,3;54260808
04/09/2014;16,17;78484146
03/09/2014;15,72;54195534
02/09/2014;15,56;64089544
01/09/2014;15,22;9017077
29/08/2014;15,18;189254229
28/08/2014;15,06;40845572
27/08/2014;15,05;32405044
26/08/2014;14,93;47081513
25/08/2014;14,94;23582608
22/08/2014;14,91;41480966
21/08/2014;15,04;45568392
20/08/2014;14,83;52090070
19/08/2014;14,67;54802025
18/08/2014;14,74;31667172
15/08/2014;14,68;31638255
14/08/2014;14,68;30412300
13/08/2014;14,72;45866030
12/08/2014;14,74;40384027
11/08/2014;14,73;63776693
08/08/2014;14,46;62520902
07/08/2014;14,24;75044454
06/08/2014;14,63;55263740
05/08/2014;14,63;54502199
04/08/2014;14,87;62418883
01/08/2014;14,66;58320315
31/07/2014;14,8;61405751
30/07/2014;14,87;39456213
29/07/2014;14,85;37970653
28/07/2014;14,86;67658285
25/07/2014;14,74;39815248
24/07/2014;14,72;64937780
23/07/2014;14,62;47263766
22/07/2014;14,6;70093943
21/07/2014;14,3;66980141
18/07/2014;14,68;38131607
17/07/2014;14,73;47933611
16/07/2014;14,76;60506469
15/07/2014;14,57;80322314
14/07/2014;14,3;60307150
11/07/2014;14,16;111793980
10/07/2014;13,86;130840508
09/07/2014;13,98;225991812
08/07/2014;12,79;40852600
07/07/2014;12,81;54518998
04/07/2014;12,75;8691508
03/07/2014;12,85;54722176
02/07/2014;12,81;40800858
01/07/2014;12,8;53587220
30/06/2014;12,77;117101182
27/06/2014;12,62;106092833
26/06/2014;12,18;40492035
25/06/2014;12,26;27267453
24/06/2014;12,24;38891795
23/06/2014;12,09;41433850
20/06/2014;12,08;155367854
19/06/2014;12,12;29509559
18/06/2014;12,11;64882902
17/06/2014;12,23;24767410
16/06/2014;12,24;34382751
13/06/2014;12,33;50140628
12/06/2014;12,3;45429959
11/06/2014;12,49;46944159
10/06/2014;12,53;56465552
09/06/2014;12,57;37512142
06/06/2014;12,49;98657519
05/06/2014;12,23;63134979
04/06/2014;11,96;28599088
03/06/2014;12,09;55130465
02/06/2014;11,98;62937094
30/05/2014;11,8;308658348
29/05/2014;12,11;55159982
28/05/2014;12,2;39372921
27/05/2014;12,14;77932915
26/05/2014;12,23;7262406
23/05/2014;12,16;61198566
22/05/2014;12,38;60257181
21/05/2014;12,38;31371322
