index,activation,epochs,error,hidden,learning_rate,prediction,random_seed
49,<function elu at 0x0000000008D556A8>,500,4.277650620449575,1000,0.0001,"[-0.02237321063876152, 1.0752873420715332, 1.312302827835083, 1.3933587074279785, 0.6335046291351318, -0.6881566047668457, -2.1104371547698975, -2.7867565155029297, -1.2811130285263062, 2.213886260986328, 3.9489710330963135, 2.5462214946746826, 2.2205026149749756, 0.12626691162586212]",4.277650620449575
70,<function elu at 0x0000000008D556A8>,1000,4.278530750149591,1000,0.0005,"[0.743404746055603, 1.3637802600860596, 0.9617406129837036, 1.720075249671936, 2.8167481422424316, 3.518735885620117, 2.8028228282928467, 0.5266743898391724, -3.4715664386749268, -1.779197335243225, 1.7660503387451172, 3.804899215698242, 2.8536059856414795, 8.321605682373047]",4.278530750149591
56,<function elu at 0x0000000008D556A8>,500,4.2786226698014564,1000,0.001,"[0.8324264287948608, 1.381809949874878, 1.048757791519165, 1.6747117042541504, 2.365349769592285, 3.1449859142303467, 3.8199100494384766, 2.2025320529937744, -0.7190279960632324, -0.06971103698015213, -0.19139772653579712, 7.364912509918213, 8.058028221130371, 4.315811634063721]",4.2786226698014564
80,<function relu at 0x0000000008D4B400>,500,4.281369073578348,100,0.001,"[0.8188660740852356, 1.1079374551773071, 1.2056881189346313, 2.493974447250366, 1.62111234664917, 3.090811252593994, 2.981034994125366, 5.440045356750488, 7.740859508514404, 9.50125503540039, 9.47133731842041, 9.3723726272583, 10.182719230651855, 12.650681495666504]",4.281369073578348
52,<function elu at 0x0000000008D556A8>,1000,4.291859465360667,1000,0.0001,"[0.12783703207969666, 1.2917945384979248, 1.1161417961120605, 1.425089716911316, 0.3563641607761383, -1.0960572957992554, -1.6618719100952148, -2.410316228866577, 0.18583032488822937, 3.4205896854400635, 3.485833168029785, 1.6579474210739136, 0.11363884806632996, -1.4993165731430054]",4.291859465360667
22,<function elu at 0x0000000008D556A8>,1000,4.2957808614687565,100,0.0005,"[0.41764935851097107, 1.323097825050354, 1.0615777969360352, 1.709149956703186, 0.5348859429359436, -0.23156028985977173, -1.4563829898834229, -1.1034060716629028, -0.7944027781486511, 1.5950608253479004, 3.0786163806915283, 4.012503623962402, 5.391345500946045, 7.074006080627441]",4.2957808614687565
36,<function elu at 0x0000000008D556A8>,500,4.302299249771544,500,0.005,"[0.6660356521606445, 1.505354642868042, 1.4197165966033936, 1.6293399333953857, 1.3777415752410889, -0.7448821067810059, 0.8581373691558838, -0.3277406692504883, 0.3459968566894531, 2.9445691108703613, 3.599599599838257, 1.7752680778503418, 0.040234342217445374, -1.7282593250274658]",4.302299249771544
111,<function relu at 0x0000000008D4B400>,1000,4.310712957955331,500,0.005,"[1.0180660486221313, 0.9206931591033936, 2.2221317291259766, 1.962295651435852, -1.197485089302063, 0.13645988702774048, 2.1101772785186768, 3.0962274074554443, 5.279329299926758, 1.0444419384002686, 0.702946662902832, -1.3874151706695557, -4.40174674987793, -4.140432834625244]",4.310712957955331
29,<function elu at 0x0000000008D556A8>,1000,4.315045944419784,500,0.0001,"[0.0006889011710882187, 1.0688307285308838, 1.339081048965454, 1.5893704891204834, 0.3724147379398346, -0.3636988699436188, -2.339719533920288, -2.585033893585205, -0.4688912630081177, 2.6983466148376465, 3.3784971237182617, 2.4659173488616943, 1.6883857250213623, 1.5541033744812012]",4.315045944419784
53,<function elu at 0x0000000008D556A8>,1000,4.317648149294401,1000,0.0001,"[0.10822446644306183, 1.2800636291503906, 1.3444830179214478, 1.670691728591919, 0.598311722278595, -0.5278460383415222, -1.6956446170806885, -2.1124675273895264, 2.1922037601470947, 4.284914016723633, 4.382017135620117, 0.13041438162326813, -1.1195483207702637, -3.1235318183898926]",4.317648149294401
