index,activation,epochs,error,hidden,learning_rate,prediction,random_seed
98,<function relu at 0x00000000092A7378>,500,3.3552303931307135,500,0.0001,"[0.18412841856479645, 0.49458974599838257, 0.7639862298965454, 0.8462572693824768, 0.3619564175605774, -0.5916143655776978, -1.5489578247070312, -2.3857600688934326, -3.8192763328552246, -5.5606369972229, -6.704892635345459, -6.553443908691406, -6.795272350311279, -7.525758743286133]",3.3552303931307135
96,<function relu at 0x00000000092A7378>,500,3.3558247265323375,500,0.0001,"[0.21960881352424622, 0.44717323780059814, 0.6652126312255859, 0.8435869216918945, 0.3322693705558777, -0.7230788469314575, -1.5011996030807495, -2.4469153881073, -4.132771015167236, -6.382596969604492, -8.043270111083984, -7.709164619445801, -7.584443092346191, -8.740044593811035]",3.3558247265323375
92,<function relu at 0x00000000092A7378>,500,3.3645386877467605,100,0.0005,"[0.3646504282951355, 0.8136042952537537, 1.1567796468734741, 1.0072267055511475, 0.03499390929937363, -0.4615975320339203, -0.9004806280136108, -1.4537441730499268, -2.542239189147949, -3.8264665603637695, -4.486353874206543, -4.264731407165527, -4.510487079620361, -5.163068771362305]",3.3645386877467605
75,<function relu at 0x00000000092A7378>,1000,3.3684113290657156,100,0.0001,"[0.20789308845996857, 0.6084163784980774, 1.0804287195205688, 1.2215205430984497, 0.14049012959003448, -1.0083175897598267, -1.4233874082565308, -1.819400429725647, -3.8015122413635254, -5.252556800842285, -6.220379829406738, -6.524463653564453, -7.7751593589782715, -10.757638931274414]",3.3684113290657156
76,<function relu at 0x00000000092A7378>,1000,3.3689875102720133,100,0.0001,"[0.24983912706375122, 0.525142252445221, 0.6980069279670715, 0.7769961357116699, 0.18200677633285522, -0.5971227884292603, -1.30979323387146, -0.8276296257972717, -1.744034767150879, -4.360705852508545, -6.06223726272583, -7.427012920379639, -8.881532669067383, -11.222539901733398]",3.3689875102720133
77,<function relu at 0x00000000092A7378>,1000,3.381469900088489,100,0.0001,"[0.2513025104999542, 0.484799861907959, 0.7425833940505981, 0.5434302687644958, -0.1715744286775589, -0.4658338129520416, -0.8280951976776123, -1.3507765531539917, -2.267397880554199, -5.028120517730713, -6.462840557098389, -6.211435794830322, -7.835865020751953, -9.648399353027344]",3.381469900088489
24,<function elu at 0x00000000092B5620>,500,3.3983408329472016,500,0.0001,"[0.11547496914863586, 0.7107208967208862, 1.3363183736801147, 1.1779506206512451, 0.43996530771255493, -1.0242974758148193, -1.7396456003189087, -2.414703845977783, -3.3155510425567627, -4.629912376403809, -6.006118297576904, -5.077373504638672, -4.991249084472656, -6.828037738800049]",3.3983408329472016
50,<function elu at 0x00000000092B5620>,500,3.4076402232828364,1000,0.0001,"[0.09644094109535217, 0.7343326210975647, 1.405739665031433, 1.2353819608688354, 0.24690625071525574, -1.0946133136749268, -1.6201609373092651, -2.353266954421997, -4.240278720855713, -4.8940958976745605, -7.183393955230713, -5.492050647735596, -4.288131237030029, -5.544098377227783]",3.4076402232828364
28,<function elu at 0x00000000092B5620>,1000,3.436653291899317,500,0.0001,"[0.12452229857444763, 0.8237040042877197, 1.3297264575958252, 1.1547704935073853, 0.470733106136322, -1.160241961479187, -1.7839852571487427, -2.6899495124816895, -3.6618478298187256, -4.52028751373291, -7.100069999694824, -5.043418884277344, -5.270330905914307, -9.277082443237305]",3.436653291899317
4,<function elu at 0x00000000092B5620>,1000,3.445337144240294,100,0.0001,"[0.13583748042583466, 0.7580657005310059, 1.1430156230926514, 0.9622383117675781, 0.07720459997653961, -1.0175449848175049, -1.4774787425994873, -1.6192139387130737, -4.132602691650391, -5.8063764572143555, -8.583756446838379, -8.268769264221191, -8.471251487731934, -7.117783546447754]",3.445337144240294
29,<function elu at 0x00000000092B5620>,1000,3.458843084534139,500,0.0001,"[0.0882682129740715, 0.6759770512580872, 1.3291575908660889, 1.2388274669647217, 0.15091416239738464, -0.984549880027771, -1.9400266408920288, -2.261202335357666, -3.42374324798584, -3.606053590774536, -5.935589790344238, -4.7563862800598145, -4.03394079208374, -5.125344276428223]",3.458843084534139
